Frequency,Ploss/Pin
0.1,0.38223932
0.1495,0.395404569
0.199,0.411788446
0.2485,0.430006174
0.298,0.44884835
0.3475,0.467394296
0.397,0.485027574
0.4465,0.501393048
0.496,0.516332239
0.5455,0.529820162
0.595,0.541914047
0.6445,0.552716103
0.694,0.562348584
0.7435,0.570938241
0.793,0.578607311
0.8425,0.585468831
0.892,0.591624621
0.9415,0.597164868
0.991,0.60216859
1.0405,0.606677729
1.09,0.610779138
1.1395,0.614529452
1.189,0.617971624
1.2385,0.621142577
1.288,0.624074045
1.3375,0.626793313
1.387,0.629323861
1.4365,0.631685911
1.486,0.633896899
1.5355,0.635971874
1.585,0.637923844
1.6345,0.639764063
1.684,0.641502283
1.7335,0.643146962
1.783,0.644705449
1.8325,0.646184135
1.882,0.647588587
1.9315,0.648923664
1.981,0.650193612
2.0305,0.651402148
2.08,0.652552537
2.1295,0.653647651
2.179,0.654690028
2.2285,0.655681913
2.278,0.656625308
2.3275,0.657521999
2.377,0.658373595
2.4265,0.659181552
2.476,0.659947195
2.5255,0.660671742
2.575,0.661356322
2.6245,0.662001988
2.674,0.662609735
2.7235,0.663180505
2.773,0.663715208
2.8225,0.66421472
2.872,0.664679897
2.9215,0.665111581
2.971,0.665510604
3.0205,0.665877792
3.07,0.666213972
3.1195,0.666519973
3.169,0.666796628
3.2185,0.66704478
3.268,0.667265278
3.3175,0.667458983
3.367,0.667626764
3.4165,0.667769503
3.466,0.667888095
3.5155,0.667983443
3.565,0.668056463
3.6145,0.668108081
3.664,0.668139234
3.7135,0.668150864
3.763,0.668143927
3.8125,0.668119383
3.862,0.668078197
3.9115,0.668021341
3.961,0.667949791
4.0105,0.667864524
4.06,0.66776652
4.1095,0.667656759
4.159,0.66753622
4.2085,0.667405879
4.258,0.66726671
4.3075,0.667119681
4.357,0.666965757
4.4065,0.666805895
4.456,0.666641043
4.5055,0.666472143
4.555,0.666300125
4.6045,0.666125911
4.654,0.66595041
4.7035,0.665774519
4.753,0.665599123
4.8025,0.665425093
4.852,0.665253286
4.9015,0.665084543
4.951,0.664919691
5.0005,0.664759541
5.05,0.664604887
5.0995,0.664456506
5.149,0.66431516
5.1985,0.664181591
5.248,0.664056524
5.2975,0.663940666
5.347,0.663834705
5.3965,0.663739313
5.446,0.663655141
5.4955,0.663582821
5.545,0.663522967
5.5945,0.663476174
5.644,0.663443017
5.6935,0.663424055
5.743,0.663419823
5.7925,0.66343084
5.842,0.663457607
5.8915,0.663500603
5.941,0.663560289
5.9905,0.663637108
6.04,0.663731484
6.0895,0.663843822
6.139,0.663974507
6.1885,0.664123908
6.238,0.664292374
6.2875,0.664480236
6.337,0.664687808
6.3865,0.664915383
6.436,0.66516324
6.4855,0.665431638
6.535,0.66572082
6.5845,0.666031009
6.634,0.666362415
6.6835,0.666715227
6.733,0.66708962
6.7825,0.667485752
6.832,0.667903762
6.8815,0.668343777
6.931,0.668805905
6.9805,0.66929024
7.03,0.669796858
7.0795,0.670325822
7.129,0.67087718
7.1785,0.671450962
7.228,0.672047187
7.2775,0.672665857
7.327,0.673306961
7.3765,0.673970474
7.426,0.674656355
7.4755,0.675364551
7.525,0.676094998
7.5745,0.676847614
7.624,0.677622307
7.6735,0.678418973
7.723,0.679237493
7.7725,0.680077738
7.822,0.680939567
7.8715,0.681822826
7.921,0.68272735
7.9705,0.683652964
8.02,0.684599481
8.0695,0.685566703
8.119,0.686554424
8.1685,0.687562425
8.218,0.688590479
8.2675,0.689638349
8.317,0.690705789
8.3665,0.691792544
8.416,0.69289835
8.4655,0.694022935
8.515,0.69516602
8.5645,0.696327316
8.614,0.697506528
8.6635,0.698703354
8.713,0.699917485
8.7625,0.701148604
8.812,0.70239639
8.8615,0.703660515
8.911,0.704940645
8.9605,0.706236442
9.01,0.707547562
9.0595,0.708873655
9.109,0.71021437
9.1585,0.711569349
9.208,0.712938231
9.2575,0.714320651
9.307,0.715716243
9.3565,0.717124636
9.406,0.718545457
9.4555,0.71997833
9.505,0.721422878
9.5545,0.722878722
9.604,0.724345482
9.6535,0.725822775
9.703,0.72731022
9.7525,0.728807433
9.802,0.730314031
9.8515,0.73182963
9.901,0.733353847
9.9505,0.734886298
10,0.736426603